decision_id,decision_date,category,decision,rationale,impact,status
DEC-001,2026-09-16,Project Scope,"Develop a telecom customer analytics DWBI solution focused on revenue, service usage, and churn","The domain supports multiple business measures, dimensions, ETL operations, and decision-oriented dashboards","Defines the overall business and technical scope of the project",Approved
DEC-002,2026-09-16,Dataset Selection,"Use the enhanced five-source IBM Telco Customer Churn sample dataset","The dataset provides customer demographics, location, population, services, usage, revenue, status, CLTV, satisfaction, and churn information","Enables multi-source integration and comprehensive DWBI analysis",Approved
DEC-003,2026-09-16,Source Selection,"Use demographics, location, population, services, and status workbooks as the primary ETL inputs","The five workbooks provide clear operational source boundaries and valid integration keys","Supports genuine multi-source extraction and data lineage",Approved
DEC-004,2026-09-16,Source Exclusion,"Exclude the combined Telco_customer_churn.xlsx workbook from the ETL pipeline","The combined workbook is a flattened and narrower representation that could duplicate or conflict with the selected five-source data","Prevents duplicate customer loading and ambiguous source definitions",Approved
DEC-005,2026-09-16,Data Governance,"Treat files stored in data/raw as immutable source records","Preserving the original files is required for reproducibility, auditing, checksum validation, and data lineage","All cleaning and transformation will occur outside the raw layer",Approved
DEC-006,2026-09-16,Temporal Analysis,"Treat the dataset as a single Q3 customer snapshot","The source does not contain several genuine calendar periods","The project will not claim artificial monthly or yearly trend analysis",Approved
DEC-007,2026-09-16,Missing Values,"Interpret missing Offer, Internet Type, Churn Category, and Churn Reason values using documented business rules","The missing values are structurally not applicable for specific customer groups rather than unexplained random errors","Transformation rules will use No Offer, No Internet, and Not Applicable categories",Approved
DEC-008,2026-09-16,Technology Stack,"Use Python for source profiling and ETL support, SQL Server for staging and dimensional storage, and Power BI for business intelligence","The selected technologies support reproducible data preparation, relational warehousing, DAX measures, and interactive dashboards","Defines the main implementation technologies",Approved
DEC-009,2026-09-16,Repository Workflow,"Use feature branches, focused commits, pull requests, and validation before merging into main","A structured Git workflow improves traceability, collaboration, quality control, and portfolio value","Every major project stage will be developed and reviewed separately",Approved
DEC-010,2026-09-16,Public Distribution,"Review dataset redistribution terms before making the repository public","Source attribution does not automatically confirm permission to redistribute the original workbooks publicly","Raw source files may be removed from the public portfolio version and replaced with download instructions",Pending
